word_id,word
1,2
2,4
3,5
4,10
5,12
6,13
7,17
8,18
9,22
10,23
11,30
12,32
13,33
14,46
15,60
16,73
17,82
18,89
19,103
20,116
21,118
22,134
23,162
24,184
25,201
26,212
27,234
28,260
29,268
30,274
31,275
32,279
33,297
34,351
35,404
36,449
37,462
38,484
39,517
40,521
41,730
42,814
43,878
44,1003
45,1133
46,1649
47,2090
48,2258
49,2358
50,2740
51,3016
52,3024
53,3270
54,3741
55,4435
56,1
57,3
58,6
59,7
60,8
61,9
62,11
63,14
64,15
65,19
66,20
67,21
68,24
69,25
70,28
71,29
72,31
73,34
74,35
75,36
76,37
77,41
78,43
79,44
80,45
81,48
82,49
83,50
84,51
85,52
86,54
87,57
88,58
89,59
90,62
91,63
92,64
93,68
94,70
95,76
96,78
97,81
98,94
99,95
100,101
101,105
102,106
103,109
104,115
105,122
106,123
107,126
108,133
109,135
110,136
111,144
112,157
113,168
114,190
115,195
116,203
117,207
118,215
119,216
120,223
121,228
122,229
123,230
124,239
125,241
126,242
127,251
128,252
129,258
130,287
131,302
132,304
133,310
134,318
135,326
136,337
137,338
138,339
139,358
140,373
141,378
142,384
143,389
144,393
145,456
146,461
147,464
148,465
149,470
150,486
151,548
152,555
153,563
154,564
155,601
156,631
157,637
158,661
159,707
160,748
161,772
162,779
163,787
164,793
165,876
166,880
167,890
168,1036
169,1037
170,1080
171,1144
172,1146
173,1180
174,1192
175,1197
176,1214
177,1260
178,1267
179,1341
180,1366
181,1368
182,1381
183,1463
184,1466
185,1520
186,1665
187,1686
188,1848
189,2011
190,2019
191,2063
192,2087
193,2189
194,2255
195,2284
196,2321
197,2397
198,2691
199,2757
200,3012
201,3032
202,3179
203,3339
204,3609
205,3627
206,3745
207,4335
208,4457
209,4600
210,4632
211,131
212,137
213,149
214,271
215,343
216,955
217,1020
218,47
219,102
220,112
221,128
222,151
223,179
224,272
225,288
226,296
227,298
228,309
229,412
230,614
231,719
232,746
233,857
234,943
235,1014
236,1243
237,1504
238,1754
239,2171
240,2294
241,2681
242,2746
243,2758
244,3755
245,4449
246,4462
247,4524
248,4975
249,16
250,27
251,39
252,55
253,61
254,69
255,72
256,74
257,99
258,132
259,139
260,146
261,147
262,155
263,170
264,180
265,185
266,186
267,210
268,225
269,227
270,233
271,244
272,265
273,269
274,276
275,280
276,289
277,307
278,328
279,336
280,344
281,395
282,542
283,546
284,610
285,692
286,739
287,743
288,767
289,868
290,909
291,1008
292,1085
293,1094
294,1515
295,1526
296,1656
297,1692
298,1849
299,2261
300,2360
301,2401
302,2413
303,2423
304,2546
305,3905
306,4174
307,4782
308,26
309,80
310,83
311,85
312,91
313,119
314,154
315,159
316,187
317,245
318,293
319,320
320,418
321,444
322,458
323,459
324,483
325,487
326,513
327,519
328,534
329,545
330,622
331,680
332,753
333,803
334,875
335,930
336,935
337,1174
338,1189
339,1438
340,1490
341,1662
342,1781
343,1941
344,1967
345,2070
346,2276
347,2900
348,2985
349,3211
350,3631
351,4690
352,75
353,86
354,92
355,171
356,172
357,191
358,196
359,235
360,255
361,257
362,330
363,367
364,410
365,415
366,554
367,613
368,628
369,634
370,705
371,745
372,755
373,761
374,837
375,1095
376,1289
377,1787
378,1883
379,1939
380,1962
381,1963
382,1979
383,2100
384,3987
385,4106
386,38
387,42
388,117
389,177
390,181
391,243
392,273
393,397
394,401
395,405
396,408
397,428
398,457
399,722
400,744
401,1134
402,1499
403,1608
404,1659
405,1719
406,1723
407,1774
408,1802
409,2527
410,2646
411,2760
412,2962
413,3986
414,4570
415,56
416,66
417,71
418,124
419,153
420,173
421,200
422,202
423,211
424,232
425,262
426,360
427,366
428,394
429,471
430,591
431,690
432,693
433,848
434,867
435,871
436,894
437,899
438,911
439,1242
440,2769
441,3401
442,3718
443,4029
444,4082
445,120
446,182
447,224
448,281
449,306
450,381
451,407
452,540
453,585
454,646
455,704
456,988
457,999
458,1021
459,1304
460,40
461,88
462,93
463,111
464,129
465,141
466,167
467,256
468,371
469,438
470,452
471,467
472,489
473,593
474,619
475,649
476,879
477,1577
478,1760
479,1867
480,2128
481,4389
482,77
483,90
484,174
485,208
486,314
487,507
488,604
489,644
490,1274
491,1616
492,2418
493,100
494,108
495,130
496,138
497,143
498,160
499,213
500,214
501,231
502,295
503,303
504,332
505,348
506,357
507,372
508,427
509,430
510,434
511,536
512,547
513,608
514,612
515,642
516,666
517,670
518,765
519,942
520,971
521,1155
522,1332
523,1788
524,1796
525,2054
526,2190
527,2288
528,2877
529,2939
530,79
531,84
532,142
533,145
534,148
535,152
536,164
537,175
538,178
539,204
540,219
541,267
542,299
543,316
544,341
545,374
546,406
547,509
548,567
549,682
550,698
551,752
552,811
553,813
554,843
555,905
556,918
557,963
558,1055
559,1166
560,1283
561,1411
562,1547
563,1711
564,1950
565,2661
566,2924
567,3547
568,3826
569,4866
570,65
571,67
572,97
573,121
574,199
575,206
576,249
577,312
578,335
579,376
580,481
581,502
582,551
583,588
584,771
585,962
586,1019
587,1597
588,3408
589,3640
590,3923
591,107
592,165
593,248
594,266
595,290
596,319
597,322
598,331
599,350
600,369
601,396
602,439
603,466
604,492
605,508
606,742
607,847
608,1004
609,1175
610,1182
611,1290
612,1306
613,3260
614,140
615,150
616,156
617,188
618,278
619,340
620,353
621,361
622,525
623,531
624,645
625,656
626,672
627,697
628,770
629,985
630,1252
631,1326
632,1768
633,1778
634,1827
635,2060
636,2185
637,2466
638,2861
639,3035
640,4556
641,4822
642,104
643,158
644,183
645,209
646,226
647,246
648,263
649,286
650,315
651,317
652,321
653,387
654,391
655,411
656,421
657,493
658,505
659,530
660,533
661,537
662,556
663,558
664,560
665,598
666,629
667,650
668,657
669,709
670,715
671,737
672,778
673,801
674,831
675,835
676,873
677,913
678,928
679,944
680,964
681,984
682,1013
683,1033
684,1165
685,1194
686,1219
687,1220
688,1271
689,1273
690,1297
691,1299
692,1300
693,1315
694,1347
695,1362
696,1367
697,1376
698,1377
699,1502
700,1517
701,1560
702,1562
703,1574
704,1589
705,1623
706,1694
707,1734
708,1927
709,1943
710,1953
711,1969
712,2035
713,2089
714,2353
715,2492
716,2512
717,2542
718,2600
719,2666
720,2782
721,2890
722,2907
723,2927
724,2955
725,2965
726,2966
727,3021
728,3025
729,3042
730,3086
731,3093
732,3121
733,3129
734,3148
735,3182
736,3186
737,3192
738,3242
739,3269
740,3283
741,3308
742,3311
743,3436
744,3448
745,3477
746,3726
747,3843
748,4010
749,4231
750,4309
751,4403
752,4434
753,4448
754,4575
755,4708
756,4740
757,4748
758,4751
759,4827
760,4853
761,4869
762,4895
763,4958
764,110
765,217
766,264
767,300
768,364
769,419
770,445
771,488
772,494
773,539
774,872
775,2640
776,3482
777,3966
778,4774
779,53
780,96
781,127
782,194
783,292
784,323
785,329
786,403
787,724
788,783
789,965
790,2938
791,166
792,169
793,259
794,313
795,333
796,352
797,727
798,749
799,760
800,762
801,768
802,832
803,968
804,1361
805,2122
806,2247
807,2742
808,4746
809,98
810,163
811,176
812,237
813,261
814,282
815,291
816,301
817,308
818,334
819,390
820,423
821,437
822,440
823,455
824,475
825,477
826,478
827,524
828,535
829,557
830,565
831,606
832,618
833,655
834,658
835,717
836,720
837,758
838,792
839,798
840,824
841,863
842,864
843,976
844,996
845,1007
846,1035
847,1049
848,1077
849,1089
850,1093
851,1112
852,1129
853,1179
854,1186
855,1205
856,1209
857,1248
858,1268
859,1276
860,1323
861,1329
862,1337
863,1350
864,1371
865,1445
866,1519
867,1582
868,1617
869,1619
